State,Area,Total_wec
AP,PENUKONDA,151
AP,SINGANAMALA,16
AP,TADPATRI,105
GJ,BHATIA,235
GJ,KUTCH,83
GJ,LALPUR,398
GJ,MAHIDAD,144
GJ,SAMANA,578
KA-N,BELGAUM,187
KA-N,GADAG,388
KA-N,TADAS,258
KA-S,C DURGA,180
KA-S,HIRIYUR,127
KA-S,JOGIHALLI,70
MH,ANDRALK,132
MH,CHVNSWR,73
MH,KARAD,119
MH,KHANAPUR,56
MH,KHANDKE,62
MH,P'PATTA,64
MH,PATAN,34
MP,DEWAS,118
MP,MAHURIYA,70
MP,MANDSAUR,45
RJ,BHAKHRANI,275
RJ,BHUKITA,337
RJ,RAJGARH,91
RJ,SIPLA,287
RJ,TEMDARI,168
RJ,TINWARI,123
TN,DHARAPURAM,126
TN,MANUR,157
TN,MUPANDL,73
TN,POOLAVADI,91
TN,PUSHPATHUR,99
TN,V'KULAM,154
MH,SATARA,34
